通報クライアント数,ブラウザ数,クライアント接続試行数,クライアント接続成功数,クライアント接続失敗数,平均,最大,最小,中央値,標準偏差
100,1,100,100,0,1.96,8,1,1,1.78
200,1,200,148,52,12.47,58,1,2,16.56
500,1,448,134,314,11.45,65,1,2,16.25
1000,1,482,135,347,11.22,65,1,2,15.73
2000,1,504,145,359,12.03,65,1,2,16.43
5000,1,483,143,340,11.12,62,1,2,15.35
100,10,100,100,0,4.09,16,1,1,4.64
200,10,200,176,24,196.09,1813,1,23,390.33
500,10,378,112,266,12.09,66,1,3,15.88
1000,10,388,108,280,12.22,62,1,3,16.01
2000,10,395,112,283,14.89,67,1,5.5,18.42
5000,10,388,108,280,13.07,66,1,3.5,16.86
100,50,100,55,45,21.16,62,1,10,21.22
200,50,183,55,128,15.09,66,1,4,18.65
500,50,213,55,158,12.49,59,1,2,16.17
1000,50,198,49,149,13.39,67,1,3,17.96
2000,50,204,53,151,14.98,67,1,4,19.12
5000,50,216,55,161,16.91,67,1,4,20.93
100,100,100,34,66,15.41,68,1,5,18.89
200,100,76,45,31,17.91,53,1,7,18.3
500,100,149,36,113,17.06,70,1,5.5,20.97
1000,100,164,39,125,17.15,69,1,5,20.35
2000,100,138,31,107,14.84,67,1,5,18.55
5000,100,156,37,119,13.78,66,1,3,18.03
100,150,100,55,45,20.29,58,1,12,18.76
200,150,139,30,109,20.43,70,1,9.5,22.36
500,150,128,43,85,19.02,58,1,14,17.72
1000,150,27,20,7,6.7,11,2,7,3.32
2000,150,137,30,107,18.77,67,1,8,21.02
5000,150,135,29,106,20.38,70,1,8,22.64
100,200,62,21,41,3.29,12,1,2,3.13
200,200,68,51,17,17.41,51,1,15,12.13
500,200,60,46,14,14.85,50,1,9.5,13.4
1000,200,66,38,28,23.68,60,1,22,17.9
2000,200,99,48,51,20.98,55,1,14,16.77
5000,200,60,51,9,16.37,53,1,10,14.18
100,500,94,0,94,0,-Infinity,Infinity,0,0
200,500,113,3,110,11.33,13,8,13,2.36
500,500,138,6,132,16.17,25,7,17,6.54
1000,500,112,5,107,4.4,7,2,4,1.85
2000,500,131,3,128,8.67,10,6,10,1.89
5000,500,121,2,119,3,4,2,3,1
