通報（回／秒）,ブラウザ数,クライアント試行数,クライアント試行成功数,クライアント試行失敗数,平均秒,最大秒,最小秒,中央値,標準偏差,CPU使用率(App),メモリ使用率(App),CPU使用率(Redis),メモリ使用率(Redis),CPU使用率(DB),メモリ使用率(DB)
1,1,63,63,0,0,0,0,0,0,8,49.4,1,10.2,0,11
10,1,730,394,336,8.81,35,0,4,10.36,46,49.7,3,10.2,1,11.1
20,1,1449,398,1051,10.53,40,0,5,11.94,55,50,4,10.2,2,11.1
30,1,2167,408,1759,7.98,32,0,3,9.33,61,50.2,4,10.2,2,11.1
40,1,2775,396,2379,3.32,18,0,1,4.63,65,50.6,5,10.2,2,11.1
50,1,2751,411,2340,2.33,13,0,1,3.36,62,50.8,4,10.2,2,11.1
100,1,2781,381,2400,3.3,17,0,1,4.46,63,51,4,10.2,2,11.1
1,10,63,63,0,0,0,0,0,0,10,50.5,2,10.2,0,11.1
10,10,726,390,336,9.56,37,0,4,11.13,53,50.9,6,10.2,2,11.1
20,10,1445,407,1038,9.57,37,0,5,11.27,57,51.2,9,10.2,2,11.1
30,10,2157,401,1756,6.04,26,0,3,7.23,60,51.4,5,10.2,2,11.1
40,10,2597,400,2197,5.05,22,0,2,6.32,63,51.7,5,10.2,2,11.1
50,10,2441,391,2050,2,10,0,1,2.49,67,51.8,6,10.2,2,11.1
100,10,2416,370,2046,4.55,16,0,3,4.74,64,22.1,5,8.9,2,10.9
1,50,63,63,0,0,0,0,0,0,13,51.8,1,10.2,0,11.1
10,50,728,197,531,16.07,45,0,12,14.84,55,52.1,6,10.2,1,11.1
20,50,1442,201,1241,13.63,44,0,9,13.26,60,52.4,7,10.2,2,11.1
30,50,1951,190,1761,13.02,40,0,8,12.78,64,52.7,7,10.2,1,11.1
40,50,1968,292,1676,9.96,36,0,6,10.35,64,22.8,6,8.9,1,10.9
50,50,2046,221,1825,14.32,40,0,11,12.77,63,53.1,7,10.2,1,11.1
100,50,2036,220,1816,16.91,45,0,14.5,13.6,62,53.3,8,10.2,1,11.1
1,100,61,61,0,0,0,0,0,0,54,23.1,2,8.9,1,10.9
10,100,604,172,432,20.24,45,0,21.5,14.93,61,23.4,8,8.9,1,10.9
20,100,1442,160,1282,19.79,48,0,19,14.18,61,53.7,9,10.2,2,11.1
30,100,1804,187,1617,12.98,39,0,11,10.12,62,23.8,7,8.9,2,10.9
40,100,1814,241,1573,12.48,40,0,11,9.58,67,24,8,8.9,2,10.9
50,100,1791,271,1520,8.99,38,0,4,10.2,63,24.2,6,8.9,2,10.9
100,100,1745,265,1480,6.03,34,0,2,8.75,62,24.4,8,8.9,2,10.9
1,150,61,61,0,0.05,1,0,0,0.22,56,24.4,3,8.9,2,10.9
10,150,731,105,626,18.56,51,0,14,16.48,60,54.5,10,10.2,2,11.1
20,150,1443,131,1312,17.82,45,0,19,12.28,62,55,9,10.2,1,11.1
30,150,1753,273,1480,6.01,32,0,1,8.85,64,25.1,7,8.9,2,10.9
40,150,1621,237,1384,3.89,22,0,1,5.39,71,25.3,7,8.9,2,10.9
50,150,1603,168,1435,10.95,43,0,6.5,11.46,63,55.5,8,10.2,1,11.1
100,150,1632,171,1461,12.65,44,0,8,12.51,62,55.7,7,10.2,1,11.1
1,200,61,50,11,0.08,1,0,0,0.27,64,25.5,3,8.9,1,10.9
10,200,47,3,44,0.33,1,0,0,0.47,65,25.5,3,8.9,2,10.9
20,200,80,3,77,0.33,1,0,0,0.47,65,25.6,3,8.9,2,10.9
30,200,63,3,60,0.67,1,0,1,0.47,64,25.7,3,8.9,2,10.9
40,200,62,3,59,0.67,1,0,1,0.47,66,25.8,3,8.9,2,10.9
50,200,99,7,92,0.57,2,0,0,0.73,68,25.9,3,8.9,2,10.9
100,200,62,2,60,0.5,1,0,0.5,0.5,65,26,2,8.9,2,10.9
1,500,30,5,25,1.6,4,1,1,1.2,52,25.9,1,8.9,3,10.9
10,500,144,1,143,0,0,0,0,0,62,56,2,10.2,2,11.1
20,500,214,0,214,0,,,0,0,69,56.3,2,10.2,3,11.1
30,500,250,2,248,0.5,1,0,0.5,0.5,65,56.6,3,10.2,4,11.1
40,500,270,1,269,1,1,1,1,0,68,56.9,3,10.2,2,11.1
50,500,264,1,263,1,1,1,1,0,72,57.4,3,10.2,2,11.1
100,500,655,0,655,0,,,0,0,75,28,4,8.9,2,10.9
